date,bankruptcy 
2004-03-09,72.8265668361866
2004-03-10,72.8265668361866
2004-03-11,72.8265668361866
2004-03-12,72.8265668361866
2004-03-13,72.8265668361866
2004-03-14,72.8265668361866
2004-03-15,72.8265668361866
2004-03-16,72.8265668361866
2004-03-17,72.8265668361866
2004-03-18,72.8265668361866
2004-03-19,72.8265668361866
2004-03-20,72.8265668361866
2004-03-21,72.8265668361866
2004-03-22,72.8265668361866
2004-03-23,72.8265668361866
2004-03-24,72.8265668361866
2004-03-25,72.8265668361866
2004-03-26,72.8265668361866
2004-03-27,72.8265668361866
2004-03-28,72.8265668361866
2004-03-29,72.8265668361866
2004-03-30,72.8265668361866
2004-03-31,72.8265668361866
2004-04-01,72.8265668361866
2004-04-02,72.58073876247796
2004-04-03,72.33491068876931
2004-04-04,72.08908261506066
2004-04-05,71.84325454135202
2004-04-06,71.59742646764337
2004-04-07,71.35159839393472
2004-04-08,71.10577032022609
2004-04-09,70.85994224651742
2004-04-10,70.61411417280878
2004-04-11,70.36828609910013
2004-04-12,70.12245802539148
2004-04-13,69.87662995168284
2004-04-14,69.63080187797419
2004-04-15,69.38497380426554
2004-04-16,69.1391457305569
2004-04-17,68.89331765684825
2004-04-18,68.64748958313962
2004-04-19,68.40166150943097
2004-04-20,68.15583343572231
2004-04-21,67.91000536201368
2004-04-22,67.66417728830503
2004-04-23,67.41834921459638
2004-04-24,67.17252114088772
2004-04-25,66.92669306717907
2004-04-26,66.68086499347044
2004-04-27,66.43503691976179
2004-04-28,66.18920884605313
2004-04-29,65.9433807723445
2004-04-30,65.69755269863585
2004-05-01,65.4517246249272
2004-05-02,65.63014822681251
2004-05-03,65.80857182869782
2004-05-04,65.98699543058312
2004-05-05,66.16541903246844
2004-05-06,66.34384263435375
2004-05-07,66.52226623623905
2004-05-08,66.70068983812436
2004-05-09,66.87911344000966
2004-05-10,67.05753704189497
2004-05-11,67.23596064378029
2004-05-12,67.41438424566559
2004-05-13,67.5928078475509
2004-05-14,67.7712314494362
2004-05-15,67.94965505132151
2004-05-16,68.12807865320683
2004-05-17,68.30650225509213
2004-05-18,68.48492585697744
2004-05-19,68.66334945886275
2004-05-20,68.84177306074805
2004-05-21,69.02019666263337
2004-05-22,69.19862026451867
2004-05-23,69.37704386640398
2004-05-24,69.5554674682893
2004-05-25,69.7338910701746
2004-05-26,69.9123146720599
2004-05-27,70.0907382739452
2004-05-28,70.26916187583052
2004-05-29,70.44758547771583
2004-05-30,70.62600907960113
2004-05-31,70.80443268148645
2004-06-01,70.98285628337176
2004-06-02,71.10577032022609
2004-06-03,71.2286843570804
2004-06-04,71.35159839393472
2004-06-05,71.47451243078905
2004-06-06,71.59742646764337
2004-06-07,71.72034050449768
2004-06-08,71.84325454135202
2004-06-09,71.96616857820634
2004-06-10,72.08908261506066
2004-06-11,72.21199665191499
2004-06-12,72.33491068876931
2004-06-13,72.45782472562362
2004-06-14,72.58073876247796
2004-06-15,72.70365279933227
2004-06-16,72.8265668361866
2004-06-17,72.94948087304094
2004-06-18,73.07239490989525
2004-06-19,73.19530894674958
2004-06-20,73.3182229836039
2004-06-21,73.44113702045823
2004-06-22,73.56405105731254
2004-06-23,73.68696509416687
2004-06-24,73.80987913102119
2004-06-25,73.93279316787552
2004-06-26,74.05570720472983
2004-06-27,74.17862124158417
2004-06-28,74.30153527843848
2004-06-29,74.4244493152928
2004-06-30,74.54736335214713
2004-07-01,74.67027738900146
2004-07-02,74.7594891899441
2004-07-03,74.84870099088675
2004-07-04,74.93791279182942
