date,advertising & marketing 
2004-05-30,24.134282749822557
2004-05-31,24.15377732393388
2004-06-01,24.173271898045208
2004-06-02,24.143055308172652
2004-06-03,24.112838718300093
2004-06-04,24.082622128427538
2004-06-05,24.05240553855498
2004-06-06,24.022188948682427
2004-06-07,23.99197235880987
2004-06-08,23.961755768937312
2004-06-09,23.931539179064757
2004-06-10,23.901322589192198
2004-06-11,23.871105999319642
2004-06-12,23.840889409447087
2004-06-13,23.810672819574528
2004-06-14,23.780456229701976
2004-06-15,23.750239639829413
2004-06-16,23.72002304995686
2004-06-17,23.689806460084306
2004-06-18,23.659589870211747
2004-06-19,23.62937328033919
2004-06-20,23.599156690466632
2004-06-21,23.568940100594077
2004-06-22,23.53872351072152
2004-06-23,23.508506920848962
2004-06-24,23.47829033097641
2004-06-25,23.44807374110385
2004-06-26,23.417857151231296
2004-06-27,23.38764056135874
2004-06-28,23.35742397148618
2004-06-29,23.327207381613626
2004-06-30,23.296990791741067
2004-07-01,23.26677420186851
2004-07-02,23.490961804148768
2004-07-03,23.715149406429028
2004-07-04,23.939337008709284
